Calendario lezioni;;;;;;;;;;;;;;;
Percorsi di formazione iniziale dei docenti                   ;;;;;;;;;;;;;;;
(DPCM 4 agosto 2023);;;;;;;;;;;;;;;
Data;Orario;Dipartimento;Classe di concorso;Insegnamento comune;PeF60 all.1;PeF30 all.2;PeF36 all.5;PeF30 art.13;Codice insegnamento;Denominazione Insegnamento;Docente;Aula;Link Teams;CFU;Note
nan;16:45-19:00;Area Trasversale - Canale A;;Trasversale A;D;D;---;---;22911108.0;Didattica inclusiva;Rizzo Amalia;;;0,5;
nan;14:30-16:45;Area Trasversale - Canale A;;Trasversale A;D;D;D;D;22911106.0;Storia della scuola e delle istituzioni educative;Meta Chiara;;;;
nan;16:45-19:00;Area Trasversale - Canale A;;Trasversale A;D;---;---;D;22911107.0;Valutazione scolastica;Corsini Cristiano;;;0,5;
nan;15:00-17:15;Architettura;A054;;P;---;P;D;;Storia della città;Verde Paola Carla;;;0,5;
nan;17:30-19:45;Architettura;A054;;P;---;P;D;;Storia della città;Verde Paola Carla;;;0,5;
nan;14:30-16:45;Area Trasversale - Canale A;;Trasversale A;D;D;---;---;22911108.0;Didattica inclusiva;Bocci Fabio;;;0,5;
nan;16:45-19:00;Area Trasversale - Canale A;;Trasversale A;D;D;D;D;22911109.0;Progettazione didattica e metodologie innovative;Ciraci Anna Maria;;;0,5;
nan;14:30-16:45;Area Trasversale - Canale A;;Trasversale A;D;D;---;D;22911113.0;Sociologia dell'educazione;Casavecchia Andrea;;;0,5;
nan;16:45-19:00;Area Trasversale - Canale A;;Trasversale A;D;D;---;D;22911113.0;Sociologia dell'educazione;De Feo Antonietta;;;0,5;
nan;14:30-16:45;Area Trasversale - Canale A;;Trasversale A;D;D;---;D;22911112.0;Psicologia per l’insegnamento e l’apprendimento;Vecchio Giovanni Maria;;;0,5;
nan;16:45-19:00;Area Trasversale - Canale A;;Trasversale A;D;D;---;---;22911112.0;Psicologia per l’insegnamento e l’apprendimento;Bello Arianna;;;0,5;
nan;15:00-17:15;Architettura;A054;A017;P;---;---;D;;Disegno e rappresentazione   ;contratto;;;0,5;
nan;17:30-19:45;Architettura;A054;A017;P;---;---;D;;Disegno e rappresentazione   ;contratto;;;0,5;
nan;;;;;---;---;---;---;;;;;;;
nan;14:30-16:45;Area Trasversale - Canale A;A054;Trasversale A;D;D;D;---;22911115.0;Educazione linguistica;Nuzzo Elena;;;0,5;
nan;16:45-19:00;Area Trasversale - Canale A;A054;Trasversale A;D;D;D;---;22911115.0;Educazione linguistica;Cortés Velásquez Diego;;;0,5;
2025-05-07;14:30-16:45;Area Trasversale - Canale A;;Trasversale A;D;D;D;---;22911115.0;Educazione linguistica;Nuzzo Elena;;;0,5;
2025-05-07;16:45-19:00;Area Trasversale - Canale A;;Trasversale A;D;D;D;---;22911115.0;Educazione linguistica;Cortés Velásquez Diego;;;0,5;
