Calendario lezioni;;;;;;;;;;;;;;
Percorsi di formazione iniziale dei docenti                   ;;;;;;;;;;;;;;;
(DPCM 4 agosto 2023);;;;;;;;;;;;;;;
Data;Orario;Dipartimento;Classe di concorso;Insegnamento comune;PeF60 all.1;PeF30 all.2;PeF36 all.5;PeF30 art.13;Codice insegnamento;Denominazione Insegnamento;Docente;Aula;Link Teams;CFU;Note;Giorno;Mese;Anno
2025-05-19;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;D;22911108;Didattica inclusiva;De Angelis Barbara;;;0.5;;Lunedì;Maggio;2025
2025-05-19;16:45-19:00;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;D;D;22911106;Storia della scuola e delle istituzioni educative;Meta Chiara;;;0.5;;Lunedì;Maggio;2025
2025-05-20;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;D;D;22911114;Competenze informatiche e coding;Mezzini Mauro;;;0.5;;Martedì;Maggio;2025
2025-05-21;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;D;22911111;Psicologia dei processi cognitivi e affettivi;Fagioli Sabrina;;;0.5;;Mercoledì;Maggio;2025
2025-05-21;16:45-19:00;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;---;22911111;Psicologia dei processi cognitivi e affettivi;Mastandrea Stefano;;;0.5;;Mercoledì;Maggio;2025
2025-05-23;15:00-17:15;Studi Umanistici;A054;A017;P;---;P;D;;Didattica della storia dell'arte contemporanea;Chiodi Stefano;;;0.5;;Venerdì;Maggio;2025
2025-05-23;17:30-19:45;Studi Umanistici;A054;A017;P;---;P;D;;Educazione al patrimonio e didattica del museo e del territorio;Fontana Mauro Vincenzo;;;0.5;;Venerdì;Maggio;2025
2025-05-24;10:30-12:45;Studi Umanistici;A054;A017;P;---;P;D;;Didattica della storia dell'arte contemporanea;Chiodi Stefano;;;0.5;;Sabato;Maggio;2025
2025-05-24;8:00-10:15;Studi Umanistici;A054;A017;P;---;P;D;;Educazione al patrimonio e didattica del museo e del territorio;Fontana Mauro Vincenzo;;;0.5;;Sabato;Maggio;2025
2025-05-26;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;---;---;D;22911107;Valutazione scolastica;Angelini Cinzia;;;0.5;;Lunedì;Maggio;2025
2025-05-26;16:45-19:00;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;D;22911108;Didattica inclusiva;Bocci Fabio;;;0.5;;Lunedì;Maggio;2025
2025-05-27;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;D;22911105;Pedagogia generale e interculturale;Bianchi Lavinia;;;0.5;;Martedì;Maggio;2025
2025-05-28;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;---;---;D;22911107;Valutazione scolastica;Agrusti Francesco;;;0.5;;Mercoledì;Maggio;2025
2025-05-29;15:00-17:15;Studi Umanistici;A054;A017;P;---;P;D;;Didattica della storia dell'arte moderna;Terzaghi Maria Cristina;;;0.5;;Giovedì;Maggio;2025
2025-05-29;17:30-19:45;Studi Umanistici;A054;A017;P;---;P;D;;Didattica della storia dell'arte moderna;Ginzburg Silvia;;;0.5;;Giovedì;Maggio;2025
2025-05-30;15:00-17:15;Architettura;A054;A017;P;---;---;D;;Disegno e rappresentazione   ;contratto;;;0.5;;Venerdì;Maggio;2025
2025-05-30;17:30-19:45;Architettura;A054;A017;P;---;---;D;;Disegno e rappresentazione   ;contratto;;;0.5;;Venerdì;Maggio;2025
2025-06-03;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;---;---;D;22911107;Valutazione scolastica;Castellana Giusi;;;0.5;;Martedì;Giugno;2025
2025-06-03;16:45-19:00;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;---;22911108;Didattica inclusiva;Rizzo Amalia;;;0.5;;Martedì;Giugno;2025
2025-06-04;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;D;D;22911106;Storia della scuola e delle istituzioni educative;Meta Chiara;;;;;Mercoledì;Giugno;2025
2025-06-04;16:45-19:00;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;---;---;D;22911107;Valutazione scolastica;Corsini Cristiano;;;0.5;;Mercoledì;Giugno;2025
2025-06-05;15:00-17:15;Architettura;A054;;P;---;P;D;;Storia dell’architettura;Verde Paola Carla;;;0.5;;Giovedì;Giugno;2025
2025-06-05;17:30-19:45;Architettura;A054;;P;---;P;D;;Storia dell’architettura;Verde Paola Carla;;;0.5;;Giovedì;Giugno;2025
2025-06-06;15:00-17:15;Architettura;A054;;P;---;P;D;;Storia della città;Verde Paola Carla;;;0.5;;Venerdì;Giugno;2025
2025-06-06;17:30-19:45;Architettura;A054;;P;---;P;D;;Storia della città;Verde Paola Carla;;;0.5;;Venerdì;Giugno;2025
2025-06-09;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;---;22911108;Didattica inclusiva;Bocci Fabio;;;0.5;;Lunedì;Giugno;2025
2025-06-09;16:45-19:00;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;D;D;22911109;Progettazione didattica e metodologie innovative;Ciraci Anna Maria;;;0.5;;Lunedì;Giugno;2025
2025-06-10;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;D;22911113;Sociologia dell'educazione;Casavecchia Andrea;;;0.5;;Martedì;Giugno;2025
2025-06-10;16:45-19:00;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;D;22911113;Sociologia dell'educazione;De Feo Antonietta;;;0.5;;Martedì;Giugno;2025
2025-06-11;14:30-16:45;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;D;22911112;Psicologia per l’insegnamento e l’apprendimento;Vecchio Giovanni Maria;;;0.5;;Mercoledì;Giugno;2025
2025-06-11;16:45-19:00;Area Trasversale - Canale A;Area Trasversale - Canale A;Trasversale A;D;D;---;---;22911112;Psicologia per l’insegnamento e l’apprendimento;Bello Arianna;;;0.5;;Mercoledì;Giugno;2025
2025-06-13;15:00-17:15;Architettura;A054;A017;P;---;---;D;;Disegno e rappresentazione   ;contratto;;;0.5;;Venerdì;Giugno;2025
2025-06-13;17:30-19:45;Architettura;A054;A017;P;---;---;D;;Disegno e rappresentazione   ;contratto;;;0.5;;Venerdì;Giugno;2025
